task,allfine_succ,allfine_steps,k2clip_succ,k2clip_red,k2_succ,k2_red,k3_succ,k3_red,k4_succ,k4_red
CloseDoubleDoor,88.0,390.8,52.0,19.3,84.0,28.4,84.0,30.8,68.0,16.6
CloseDrawer,100.0,210.9,100.0,46.8,100.0,44.5,100.0,56.3,100.0,63.7
CloseSingleDoor,100.0,281.6,100.0,43.1,96.0,51.0,80.0,59.1,68.0,56.9
CoffeePressButton,96.0,117.4,80.0,43.1,84.0,45.9,84.0,53.5,80.0,55.7
CoffeeServeMug,76.0,315.8,80.0,39.5,76.0,41.9,68.0,55.0,52.0,64.2
CoffeeSetupMug,24.0,276.3,20.0,40.7,28.0,33.6,12.0,46.0,12.0,60.6
OpenDoubleDoor,68.0,736.9,72.0,30.9,96.0,38.6,84.0,47.9,80.0,44.0
OpenDrawer,68.0,221.5,24.0,40.5,52.0,48.2,32.0,59.7,4.0,70.2
OpenSingleDoor,80.0,319.5,44.0,26.2,80.0,43.6,68.0,24.6,28.0,45.3
PnPCabToCounter,52.0,289.9,40.0,8.4,52.0,19.8,56.0,29.7,40.0,43.8
PnPCounterToCab,68.0,301.1,68.0,33.9,68.0,47.1,44.0,57.3,52.0,56.4
PnPCounterToMicrowave,16.0,421.2,24.0,-0.7,12.0,5.4,16.0,57.4,4.0,72.0
PnPCounterToSink,60.0,509.8,68.0,40.5,84.0,43.3,60.0,31.1,72.0,48.0
PnPCounterToStove,76.0,394.9,48.0,46.8,72.0,43.6,52.0,20.9,24.0,63.3
PnPMicrowaveToCounter,36.0,332.7,44.0,15.0,28.0,35.8,12.0,54.6,8.0,56.9
PnPSinkToCounter,40.0,273.6,16.0,29.8,44.0,33.1,32.0,46.5,12.0,69.9
PnPStoveToCounter,80.0,270.0,72.0,29.4,76.0,23.5,64.0,55.6,24.0,54.0
TurnOffMicrowave,92.0,221.4,100.0,38.9,96.0,18.3,96.0,27.0,88.0,64.6
TurnOffSinkFaucet,96.0,233.1,84.0,10.9,92.0,18.0,72.0,14.9,60.0,18.7
TurnOffStove,24.0,474.0,16.0,-21.3,36.0,50.9,24.0,71.9,16.0,56.8
TurnOnMicrowave,60.0,237.2,48.0,43.2,56.0,43.8,76.0,34.2,36.0,70.9
TurnOnSinkFaucet,88.0,251.9,56.0,0.7,68.0,39.0,52.0,-4.9,40.0,19.4
TurnOnStove,28.0,258.4,32.0,-2.3,40.0,-21.2,32.0,-43.4,24.0,30.7
TurnSinkSpout,80.0,151.8,72.0,5.3,68.0,50.0,64.0,60.2,68.0,70.0
